Testando diferentes valores de r...

--- r = 1 ---
Run 1: SP = 147.1750 | Tempo = 10.00s
Run 2: SP = 146.7500 | Tempo = 10.00s
Run 3: SP = 147.1750 | Tempo = 10.00s
Run 4: SP = 149.2300 | Tempo = 10.00s
Run 5: SP = 147.1750 | Tempo = 10.00s
Run 6: SP = 146.7500 | Tempo = 10.00s
Run 7: SP = 147.1750 | Tempo = 10.00s
Run 8: SP = 147.1750 | Tempo = 10.00s
Run 9: SP = 146.7500 | Tempo = 10.00s
Run 10: SP = 147.1750 | Tempo = 10.00s
Run 11: SP = 147.7000 | Tempo = 10.00s
Run 12: SP = 149.2300 | Tempo = 10.00s
Run 13: SP = 147.1750 | Tempo = 10.00s
Run 14: SP = 146.7500 | Tempo = 10.00s
Run 15: SP = 147.7000 | Tempo = 10.00s
Run 16: SP = 146.7500 | Tempo = 10.00s
Run 17: SP = 146.7500 | Tempo = 10.00s
Run 18: SP = 147.1750 | Tempo = 10.00s
Run 19: SP = 147.7000 | Tempo = 10.00s
Run 20: SP = 147.1750 | Tempo = 10.00s
Run 21: SP = 147.1750 | Tempo = 10.00s
Run 22: SP = 146.7500 | Tempo = 10.00s
Run 23: SP = 147.1750 | Tempo = 10.00s
Run 24: SP = 147.1750 | Tempo = 10.00s
Run 25: SP = 147.1750 | Tempo = 10.00s
Run 26: SP = 146.7500 | Tempo = 10.00s
Run 27: SP = 146.7500 | Tempo = 10.00s
Run 28: SP = 147.1750 | Tempo = 10.00s
Run 29: SP = 146.7500 | Tempo = 10.00s
Run 30: SP = 147.1750 | Tempo = 10.00s
Resumo para r = 1 -> Min: 146.7500 | Média: 147.2228 | Max: 149.2300 | Tempo médio: 10.0002

--- r = 2 ---
Run 1: SP = 156.0750 | Tempo = 9.24s
Run 2: SP = 147.4400 | Tempo = 9.06s
Run 3: SP = 146.2250 | Tempo = 8.18s
Run 4: SP = 145.7000 | Tempo = 10.00s
Run 5: SP = 145.7000 | Tempo = 8.60s
Run 6: SP = 147.5100 | Tempo = 7.66s
Run 7: SP = 146.9450 | Tempo = 10.00s
Run 8: SP = 146.8400 | Tempo = 10.00s
Run 9: SP = 146.2250 | Tempo = 9.01s
Run 10: SP = 146.8400 | Tempo = 10.00s
